respondent_id,feature,functional,dysfunctional
K015,Plain-language access log,Like,Neutral
K015,Per-partner consent toggles,Like,Dislike
K015,Care Moments (WhatsApp/SMS),Like,Dislike
K015,Grievance with case ID,Like,Neutral
K015,Audio narration at kiosk,Like,Dislike
K015,Download / share my records (ABHA),Expect,Like
K015,Trust status panel,Live with,Neutral
K015,Data deletion request,Like,Neutral
K016,Multilingual consent wizard,Expect,Dislike
K016,Doctor identity card,Like,Dislike
K016,Plain-language access log,Like,Neutral
K016,Per-partner consent toggles,Expect,Dislike
K016,Care Moments (WhatsApp/SMS),Like,Neutral
K016,Grievance with case ID,Neutral,Dislike
K016,Audio narration at kiosk,Like,Live with
K016,Download / share my records (ABHA),Like,Dislike
K016,Trust status panel,Neutral,Expect
K016,Data deletion request,Like,Neutral
K017,Multilingual consent wizard,Expect,Dislike
K017,Doctor identity card,Like,Live with
K017,Plain-language access log,Expect,Dislike
K017,Per-partner consent toggles,Neutral,Dislike
K017,Care Moments (WhatsApp/SMS),Like,Dislike
K017,Grievance with case ID,Expect,Neutral
K017,Audio narration at kiosk,Expect,Neutral
K017,Download / share my records (ABHA),Like,Dislike
K017,Trust status panel,Like,Neutral
K017,Data deletion request,Dislike,Neutral
K018,Multilingual consent wizard,Expect,Neutral
K018,Doctor identity card,Like,Dislike
K018,Plain-language access log,Like,Neutral
K018,Per-partner consent toggles,Like,Live with
K018,Care Moments (WhatsApp/SMS),Expect,Dislike
K018,Grievance with case ID,Live with,Dislike
K018,Audio narration at kiosk,Like,Neutral
K018,Download / share my records (ABHA),Like,Dislike
K018,Trust status panel,Neutral,Live with
K018,Data deletion request,Neutral,Neutral
K019,Multilingual consent wizard,Expect,Dislike
K019,Doctor identity card,Neutral,Neutral
K019,Plain-language access log,Like,Live with
K019,Per-partner consent toggles,Expect,Dislike
K019,Care Moments (WhatsApp/SMS),Like,Live with
K019,Grievance with case ID,Expect,Dislike
K019,Audio narration at kiosk,Neutral,Neutral
K019,Download / share my records (ABHA),Like,Live with
K019,Trust status panel,Neutral,Neutral
K019,Data deletion request,Live with,Neutral
K020,Multilingual consent wizard,Like,Dislike
K020,Doctor identity card,Like,Dislike
K020,Plain-language access log,Like,Live with
K020,Per-partner consent toggles,Expect,Like
K020,Care Moments (WhatsApp/SMS),Neutral,Neutral
K020,Grievance with case ID,Expect,Dislike
K020,Audio narration at kiosk,Like,Neutral
K020,Download / share my records (ABHA),Expect,Dislike
K020,Trust status panel,Like,Neutral
K020,Data deletion request,Like,Neutral
K021,Multilingual consent wizard,Live with,Dislike
K021,Doctor identity card,Expect,Dislike
K021,Plain-language access log,Neutral,Neutral
K021,Per-partner consent toggles,Like,Neutral
K021,Care Moments (WhatsApp/SMS),Like,Dislike
K021,Grievance with case ID,Expect,Dislike
K021,Audio narration at kiosk,Like,Neutral
K021,Download / share my records (ABHA),Neutral,Live with
K021,Trust status panel,Like,Neutral
K021,Data deletion request,Like,Neutral
K022,Multilingual consent wizard,Expect,Dislike
K022,Doctor identity card,Like,Dislike
K022,Plain-language access log,Like,Neutral
K022,Per-partner consent toggles,Dislike,Live with
K022,Care Moments (WhatsApp/SMS),Expect,Dislike
K022,Grievance with case ID,Expect,Dislike
K022,Audio narration at kiosk,Like,Neutral
K022,Download / share my records (ABHA),Like,Dislike
K022,Trust status panel,Neutral,Neutral
K022,Data deletion request,Like,Live with
K023,Multilingual consent wizard,Like,Live with
K023,Doctor identity card,Live with,Dislike
K023,Plain-language access log,Neutral,Neutral
K023,Per-partner consent toggles,Like,Dislike
K023,Care Moments (WhatsApp/SMS),Like,Neutral
K023,Grievance with case ID,Expect,Dislike
K023,Audio narration at kiosk,Like,Expect
K023,Download / share my records (ABHA),Like,Dislike
K023,Trust status panel,Live with,Neutral
K023,Data deletion request,Neutral,Neutral
K024,Multilingual consent wizard,Expect,Dislike
K024,Doctor identity card,Like,Dislike
K024,Plain-language access log,Neutral,Neutral
K024,Per-partner consent toggles,Expect,Dislike
K024,Care Moments (WhatsApp/SMS),Neutral,Dislike
K024,Grievance with case ID,Neutral,Neutral
K024,Audio narration at kiosk,Like,Neutral
K024,Download / share my records (ABHA),Like,Dislike
K024,Trust status panel,Like,Neutral
K024,Data deletion request,Expect,Neutral
K025,Multilingual consent wizard,Expect,Dislike
K025,Doctor identity card,Expect,Dislike
K025,Plain-language access log,Like,Neutral
K025,Per-partner consent toggles,Expect,Dislike
K025,Care Moments (WhatsApp/SMS),Like,Dislike
K025,Grievance with case ID,Expect,Live with
K025,Audio narration at kiosk,Like,Neutral
K025,Download / share my records (ABHA),Like,Dislike
K025,Trust status panel,Neutral,Expect
K025,Data deletion request,Live with,Neutral
K026,Multilingual consent wizard,Expect,Dislike
K026,Doctor identity card,Like,Dislike
K026,Plain-language access log,Like,Neutral
K026,Per-partner consent toggles,Like,Dislike
K026,Care Moments (WhatsApp/SMS),Like,Neutral
K026,Grievance with case ID,Neutral,Live with
K026,Audio narration at kiosk,Neutral,Neutral
K026,Download / share my records (ABHA),Like,Dislike
K026,Trust status panel,Like,Neutral
K026,Data deletion request,Like,Neutral
K027,Multilingual consent wizard,Like,Like
K027,Doctor identity card,Like,Dislike
K027,Plain-language access log,Like,Neutral
K027,Per-partner consent toggles,Like,Dislike
K027,Care Moments (WhatsApp/SMS),Expect,Dislike
K027,Grievance with case ID,Like,Dislike
K027,Audio narration at kiosk,Like,Live with
K027,Download / share my records (ABHA),Like,Dislike
K027,Trust status panel,Neutral,Neutral
K027,Data deletion request,Dislike,Neutral
K028,Multilingual consent wizard,Expect,Live with
K028,Doctor identity card,Neutral,Dislike
K028,Plain-language access log,Like,Neutral
K028,Per-partner consent toggles,Like,Dislike
K028,Care Moments (WhatsApp/SMS),Like,Live with
K028,Grievance with case ID,Neutral,Dislike
K028,Audio narration at kiosk,Live with,Live with
K028,Download / share my records (ABHA),Like,Live with
K028,Trust status panel,Neutral,Expect
K028,Data deletion request,Like,Dislike
K029,Multilingual consent wizard,Neutral,Live with
K029,Doctor identity card,Like,Expect
K029,Plain-language access log,Like,Like
K029,Per-partner consent toggles,Like,Dislike
K029,Care Moments (WhatsApp/SMS),Like,Dislike
K029,Grievance with case ID,Expect,Dislike
K029,Audio narration at kiosk,Expect,Neutral
K029,Download / share my records (ABHA),Expect,Dislike
K029,Trust status panel,Neutral,Neutral
K029,Data deletion request,Like,Neutral
K030,Multilingual consent wizard,Neutral,Dislike
K030,Doctor identity card,Like,Dislike
K030,Plain-language access log,Like,Like
K030,Per-partner consent toggles,Like,Dislike
K030,Care Moments (WhatsApp/SMS),Like,Dislike
K030,Grievance with case ID,Expect,Dislike
K030,Audio narration at kiosk,Like,Neutral
K030,Download / share my records (ABHA),Like,Neutral
K030,Trust status panel,Expect,Neutral
K030,Data deletion request,Like,Dislike
K031,Multilingual consent wizard,Expect,Dislike
K031,Doctor identity card,Like,Dislike
K031,Plain-language access log,Like,Live with
K031,Per-partner consent toggles,Neutral,Dislike
K031,Care Moments (WhatsApp/SMS),Like,Dislike
K031,Grievance with case ID,Like,Dislike
K031,Audio narration at kiosk,Like,Neutral
K031,Download / share my records (ABHA),Like,Dislike
K031,Trust status panel,Expect,Neutral
K031,Data deletion request,Like,Neutral
K032,Multilingual consent wizard,Live with,Dislike
K032,Doctor identity card,Like,Dislike
K032,Plain-language access log,Dislike,Neutral
K032,Per-partner consent toggles,Like,Live with
K032,Care Moments (WhatsApp/SMS),Like,Dislike
K032,Grievance with case ID,Neutral,Dislike
K032,Audio narration at kiosk,Like,Neutral
K032,Download / share my records (ABHA),Like,Dislike
K032,Trust status panel,Neutral,Neutral
K032,Data deletion request,Like,Neutral
K033,Multilingual consent wizard,Expect,Dislike
K033,Doctor identity card,Like,Dislike
K033,Plain-language access log,Like,Neutral
K033,Per-partner consent toggles,Like,Live with
K033,Care Moments (WhatsApp/SMS),Like,Neutral
K033,Grievance with case ID,Like,Dislike
K033,Audio narration at kiosk,Neutral,Neutral
K033,Download / share my records (ABHA),Expect,Live with
K033,Trust status panel,Neutral,Neutral
K033,Data deletion request,Neutral,Neutral
K034,Multilingual consent wizard,Like,Expect
K034,Doctor identity card,Like,Dislike
K034,Plain-language access log,Neutral,Neutral
K034,Per-partner consent toggles,Expect,Expect
K034,Care Moments (WhatsApp/SMS),Expect,Dislike
K034,Grievance with case ID,Expect,Dislike
K034,Audio narration at kiosk,Like,Dislike
K034,Download / share my records (ABHA),Like,Live with
K034,Trust status panel,Neutral,Neutral
K034,Data deletion request,Like,Neutral
K035,Multilingual consent wizard,Like,Neutral
K035,Doctor identity card,Live with,Dislike
K035,Plain-language access log,Like,Neutral
K035,Per-partner consent toggles,Like,Live with
K035,Care Moments (WhatsApp/SMS),Like,Like
K035,Grievance with case ID,Like,Dislike
K035,Audio narration at kiosk,Like,Dislike
K035,Download / share my records (ABHA),Like,Dislike
K035,Trust status panel,Live with,Neutral
K035,Data deletion request,Like,Neutral
K036,Multilingual consent wizard,Like,Neutral
K036,Doctor identity card,Like,Dislike
K036,Plain-language access log,Like,Live with
K036,Per-partner consent toggles,Like,Dislike
K036,Care Moments (WhatsApp/SMS),Neutral,Dislike
K036,Grievance with case ID,Like,Dislike
K036,Audio narration at kiosk,Like,Neutral
K036,Download / share my records (ABHA),Like,Dislike
K036,Trust status panel,Neutral,Live with
K036,Data deletion request,Live with,Live with
K037,Multilingual consent wizard,Neutral,Dislike
K037,Doctor identity card,Like,Dislike
K037,Plain-language access log,Like,Neutral
K037,Per-partner consent toggles,Like,Live with
K037,Care Moments (WhatsApp/SMS),Like,Dislike
K037,Grievance with case ID,Neutral,Dislike
K037,Audio narration at kiosk,Neutral,Expect
K037,Download / share my records (ABHA),Expect,Dislike
K037,Trust status panel,Like,Neutral
K037,Data deletion request,Like,Neutral
K038,Multilingual consent wizard,Neutral,Dislike
K038,Doctor identity card,Expect,Dislike
K038,Plain-language access log,Neutral,Dislike
K038,Per-partner consent toggles,Live with,Dislike
K038,Care Moments (WhatsApp/SMS),Like,Neutral
K038,Grievance with case ID,Live with,Neutral
K038,Audio narration at kiosk,Like,Neutral
K038,Download / share my records (ABHA),Like,Dislike
K038,Trust status panel,Neutral,Live with
K038,Data deletion request,Like,Live with
K039,Multilingual consent wizard,Expect,Dislike
K039,Doctor identity card,Like,Dislike
K039,Plain-language access log,Neutral,Neutral
K039,Per-partner consent toggles,Expect,Dislike
K039,Care Moments (WhatsApp/SMS),Like,Dislike
K039,Grievance with case ID,Expect,Dislike
K039,Audio narration at kiosk,Dislike,Neutral
K039,Download / share my records (ABHA),Like,Dislike
K039,Trust status panel,Neutral,Neutral
K039,Data deletion request,Dislike,Neutral
K040,Multilingual consent wizard,Live with,Dislike
K040,Doctor identity card,Like,Neutral
K040,Plain-language access log,Like,Neutral
K040,Per-partner consent toggles,Expect,Dislike
K040,Care Moments (WhatsApp/SMS),Like,Expect
K040,Grievance with case ID,Dislike,Like
K040,Audio narration at kiosk,Live with,Live with
K040,Download / share my records (ABHA),Neutral,Dislike
K040,Trust status panel,Like,Neutral
K040,Data deletion request,Like,Live with
K041,Multilingual consent wizard,Expect,Dislike
K041,Doctor identity card,Neutral,Dislike
K041,Plain-language access log,Live with,Live with
K041,Per-partner consent toggles,Like,Dislike
K041,Care Moments (WhatsApp/SMS),Like,Neutral
K041,Grievance with case ID,Expect,Like
K041,Audio narration at kiosk,Like,Neutral
K041,Download / share my records (ABHA),Like,Dislike
K041,Trust status panel,Expect,Neutral
K041,Data deletion request,Like,Neutral
K042,Multilingual consent wizard,Neutral,Dislike
K042,Doctor identity card,Neutral,Neutral
K042,Plain-language access log,Like,Live with
K042,Per-partner consent toggles,Like,Neutral
K042,Care Moments (WhatsApp/SMS),Like,Dislike
K042,Grievance with case ID,Expect,Dislike
K042,Audio narration at kiosk,Neutral,Neutral
K042,Download / share my records (ABHA),Like,Live with
K042,Trust status panel,Live with,Neutral
K042,Data deletion request,Like,Neutral
K043,Multilingual consent wizard,Expect,Live with
K043,Doctor identity card,Expect,Neutral
K043,Plain-language access log,Like,Neutral
K043,Per-partner consent toggles,Neutral,Dislike
K043,Care Moments (WhatsApp/SMS),Like,Neutral
K043,Grievance with case ID,Like,Dislike
K043,Audio narration at kiosk,Live with,Neutral
K043,Download / share my records (ABHA),Like,Dislike
K043,Trust status panel,Like,Live with
K043,Data deletion request,Like,Neutral
K044,Multilingual consent wizard,Neutral,Dislike
K044,Doctor identity card,Like,Dislike
K044,Plain-language access log,Live with,Live with
K044,Per-partner consent toggles,Like,Dislike
K044,Care Moments (WhatsApp/SMS),Like,Live with
K044,Grievance with case ID,Expect,Dislike
K044,Audio narration at kiosk,Neutral,Neutral
K044,Download / share my records (ABHA),Like,Dislike
K044,Trust status panel,Neutral,Neutral
K044,Data deletion request,Neutral,Live with
K045,Multilingual consent wizard,Live with,Dislike
K045,Doctor identity card,Expect,Live with
K045,Plain-language access log,Neutral,Live with
K045,Per-partner consent toggles,Like,Neutral
K045,Care Moments (WhatsApp/SMS),Live with,Live with
K045,Grievance with case ID,Expect,Dislike
K045,Audio narration at kiosk,Neutral,Neutral
K045,Download / share my records (ABHA),Like,Dislike
K045,Trust status panel,Neutral,Neutral
K045,Data deletion request,Like,Live with
K046,Multilingual consent wizard,Neutral,Live with
K046,Doctor identity card,Like,Dislike
K046,Plain-language access log,Neutral,Neutral
K046,Per-partner consent toggles,Like,Dislike
K046,Care Moments (WhatsApp/SMS),Like,Dislike
K046,Grievance with case ID,Expect,Dislike
K046,Audio narration at kiosk,Neutral,Live with
K046,Download / share my records (ABHA),Like,Dislike
K046,Trust status panel,Neutral,Neutral
K046,Data deletion request,Neutral,Neutral
K047,Multilingual consent wizard,Dislike,Dislike
K047,Doctor identity card,Like,Neutral
K047,Plain-language access log,Like,Dislike
K047,Per-partner consent toggles,Expect,Dislike
K047,Care Moments (WhatsApp/SMS),Expect,Dislike
K047,Grievance with case ID,Expect,Dislike
K047,Audio narration at kiosk,Like,Neutral
K047,Download / share my records (ABHA),Like,Dislike
K047,Trust status panel,Dislike,Live with
K047,Data deletion request,Like,Neutral
K048,Multilingual consent wizard,Expect,Dislike
K048,Doctor identity card,Dislike,Dislike
K048,Plain-language access log,Like,Like
K048,Per-partner consent toggles,Like,Dislike
K048,Care Moments (WhatsApp/SMS),Like,Dislike
K048,Grievance with case ID,Live with,Dislike
K048,Audio narration at kiosk,Like,Neutral
K048,Download / share my records (ABHA),Like,Dislike
K048,Trust status panel,Neutral,Neutral
K048,Data deletion request,Like,Live with
K049,Multilingual consent wizard,Like,Live with
K049,Doctor identity card,Expect,Dislike
K049,Plain-language access log,Like,Dislike
K049,Per-partner consent toggles,Expect,Dislike
K049,Care Moments (WhatsApp/SMS),Expect,Dislike
K049,Grievance with case ID,Expect,Dislike
K049,Audio narration at kiosk,Like,Live with
K049,Download / share my records (ABHA),Like,Dislike
K049,Trust status panel,Like,Neutral
K049,Data deletion request,Neutral,Live with
K050,Multilingual consent wizard,Neutral,Neutral
K050,Doctor identity card,Like,Like
K050,Plain-language access log,Like,Expect
K050,Per-partner consent toggles,Like,Live with
K050,Care Moments (WhatsApp/SMS),Like,Dislike
K050,Grievance with case ID,Expect,Dislike
K050,Audio narration at kiosk,Live with,Neutral
K050,Download / share my records (ABHA),Like,Dislike
K050,Trust status panel,Neutral,Live with
K050,Data deletion request,Neutral,Neutral
K051,Multilingual consent wizard,Like,Dislike
K051,Doctor identity card,Neutral,Live with
K051,Plain-language access log,Neutral,Live with
K051,Per-partner consent toggles,Like,Dislike
K051,Care Moments (WhatsApp/SMS),Neutral,Live with
K051,Grievance with case ID,Expect,Dislike
K051,Audio narration at kiosk,Like,Neutral
K051,Download / share my records (ABHA),Expect,Dislike
K051,Trust status panel,Neutral,Neutral
K051,Data deletion request,Live with,Neutral
K052,Multilingual consent wizard,Expect,Dislike
K052,Doctor identity card,Neutral,Live with
K052,Plain-language access log,Like,Neutral
K052,Per-partner consent toggles,Like,Dislike
K052,Care Moments (WhatsApp/SMS),Like,Dislike
K052,Grievance with case ID,Neutral,Live with
K052,Audio narration at kiosk,Like,Live with
K052,Download / share my records (ABHA),Like,Dislike
K052,Trust status panel,Neutral,Live with
K052,Data deletion request,Like,Neutral
K053,Multilingual consent wizard,Expect,Dislike
K053,Doctor identity card,Like,Live with
K053,Plain-language access log,Like,Dislike
K053,Per-partner consent toggles,Expect,Neutral
K053,Care Moments (WhatsApp/SMS),Expect,Dislike
K053,Grievance with case ID,Like,Neutral
K053,Audio narration at kiosk,Like,Expect
K053,Download / share my records (ABHA),Like,Neutral
K053,Trust status panel,Like,Neutral
K053,Data deletion request,Like,Live with
K054,Multilingual consent wizard,Neutral,Dislike
K054,Doctor identity card,Like,Dislike
K054,Plain-language access log,Like,Like
K054,Per-partner consent toggles,Expect,Dislike
K054,Care Moments (WhatsApp/SMS),Expect,Live with
K054,Grievance with case ID,Neutral,Dislike
K054,Audio narration at kiosk,Like,Dislike
K054,Download / share my records (ABHA),Expect,Dislike
K054,Trust status panel,Neutral,Live with
K054,Data deletion request,Neutral,Live with
K055,Multilingual consent wizard,Expect,Live with
K055,Doctor identity card,Like,Dislike
K055,Plain-language access log,Neutral,Neutral
K055,Per-partner consent toggles,Like,Dislike
K055,Care Moments (WhatsApp/SMS),Live with,Dislike
K055,Grievance with case ID,Expect,Live with
K055,Audio narration at kiosk,Like,Dislike
K055,Download / share my records (ABHA),Like,Live with
K055,Trust status panel,Like,Neutral
K055,Data deletion request,Like,Neutral
K056,Multilingual consent wizard,Like,Dislike
K056,Doctor identity card,Like,Dislike
K056,Plain-language access log,Like,Neutral
K056,Per-partner consent toggles,Neutral,Live with
K056,Care Moments (WhatsApp/SMS),Like,Neutral
K056,Grievance with case ID,Expect,Neutral
K056,Audio narration at kiosk,Neutral,Dislike
K056,Download / share my records (ABHA),Like,Dislike
K056,Trust status panel,Live with,Neutral
K056,Data deletion request,Neutral,Neutral
K057,Multilingual consent wizard,Expect,Dislike
K057,Doctor identity card,Expect,Dislike
K057,Plain-language access log,Like,Neutral
K057,Per-partner consent toggles,Like,Dislike
K057,Care Moments (WhatsApp/SMS),Expect,Dislike
K057,Grievance with case ID,Expect,Dislike
K057,Audio narration at kiosk,Like,Neutral
K057,Download / share my records (ABHA),Neutral,Live with
K057,Trust status panel,Live with,Neutral
K057,Data deletion request,Like,Neutral
K058,Multilingual consent wizard,Like,Dislike
K058,Doctor identity card,Like,Expect
K058,Plain-language access log,Like,Like
K058,Per-partner consent toggles,Like,Like
K058,Care Moments (WhatsApp/SMS),Live with,Dislike
K058,Grievance with case ID,Neutral,Expect
K058,Audio narration at kiosk,Like,Neutral
K058,Download / share my records (ABHA),Neutral,Dislike
K058,Trust status panel,Like,Neutral
K058,Data deletion request,Like,Neutral
K059,Multilingual consent wizard,Neutral,Live with
K059,Doctor identity card,Neutral,Dislike
K059,Plain-language access log,Neutral,Live with
K059,Per-partner consent toggles,Neutral,Dislike
K059,Care Moments (WhatsApp/SMS),Like,Live with
K059,Grievance with case ID,Live with,Dislike
K059,Audio narration at kiosk,Live with,Neutral
K059,Download / share my records (ABHA),Like,Dislike
K059,Trust status panel,Expect,Neutral
K059,Data deletion request,Neutral,Neutral
K060,Multilingual consent wizard,Expect,Live with
K060,Doctor identity card,Like,Dislike
K060,Plain-language access log,Like,Neutral
K060,Per-partner consent toggles,Like,Neutral
K060,Care Moments (WhatsApp/SMS),Like,Dislike
K060,Grievance with case ID,Neutral,Dislike
K060,Audio narration at kiosk,Like,Neutral
K060,Download / share my records (ABHA),Like,Dislike
K060,Trust status panel,Live with,Neutral
K060,Data deletion request,Neutral,Live with
K061,Multilingual consent wizard,Expect,Dislike
K061,Doctor identity card,Like,Dislike
K061,Plain-language access log,Neutral,Live with
K061,Per-partner consent toggles,Like,Dislike
K061,Care Moments (WhatsApp/SMS),Like,Dislike
K061,Grievance with case ID,Live with,Dislike
K061,Audio narration at kiosk,Like,Neutral
K061,Download / share my records (ABHA),Like,Dislike
K061,Trust status panel,Expect,Live with
K061,Data deletion request,Neutral,Neutral
K062,Multilingual consent wizard,Neutral,Dislike
K062,Doctor identity card,Like,Dislike
K062,Plain-language access log,Like,Neutral
K062,Per-partner consent toggles,Expect,Dislike
K062,Care Moments (WhatsApp/SMS),Like,Dislike
K062,Grievance with case ID,Expect,Dislike
K062,Audio narration at kiosk,Like,Live with
K062,Download / share my records (ABHA),Like,Dislike
K062,Trust status panel,Live with,Neutral
K062,Data deletion request,Like,Expect
K063,Multilingual consent wizard,Expect,Dislike
K063,Doctor identity card,Expect,Live with
K063,Plain-language access log,Neutral,Dislike
K063,Per-partner consent toggles,Neutral,Dislike
K063,Care Moments (WhatsApp/SMS),Like,Dislike
K063,Grievance with case ID,Like,Live with
K063,Audio narration at kiosk,Neutral,Neutral
K063,Download / share my records (ABHA),Like,Dislike
K063,Trust status panel,Neutral,Neutral
K063,Data deletion request,Like,Neutral
K064,Multilingual consent wizard,Like,Dislike
K064,Doctor identity card,Like,Dislike
K064,Plain-language access log,Live with,Neutral
K064,Per-partner consent toggles,Like,Dislike
K064,Care Moments (WhatsApp/SMS),Neutral,Dislike
K064,Grievance with case ID,Neutral,Dislike
K064,Audio narration at kiosk,Like,Live with
