Timestamp,I have read the participant information and agree to take part in this survey.,Please provide the age range you belong to:,Where do you live?,Which language do you prefer for health information?,Which of the following digital healthcare services have you used in the past year?,How often do you use digital healthcare services?,Which platform do you use most often?,Overall Trust in Digital Healthcare Services [I trust digital and telehealth services for managing my healthcare needs.],Overall Trust in Digital Healthcare Services [I feel confident relying on digital healthcare services when medical help is needed.],Overall Trust in Digital Healthcare Services [I believe that digital healthcare providers generally act in my best interest regarding my health.],Trust-Building Factors: Data Privacy and Security [I believe my personal health information is kept private on digital healthcare platforms.],Trust-Building Factors: Data Privacy and Security [I feel my health data is protected from misuse or cyberattacks.],Trust-Building Factors: Data Privacy and Security [I am confident that the platform uses advanced encryption (secure technology) to store my medical records.],Trust-Building Factors: Data Transparency [Digital healthcare platforms clearly explain how my health data is used.],"Trust-Building Factors: Data Transparency [I can see which parties (doctor, lab, pharmacy) my health data is shared with.]",Trust-Building Factors: Data Transparency [I can see who has accessed my health records and when.],Trust-Building Factors: Consent and Control [I am asked for clear permission before my health data is collected or shared.],Trust-Building Factors: Consent and Control [I feel confident that I can withdraw my consent or delete my data from the platform whenever I choose.],"Trust-Building Factors: Consent and Control [I can choose which partners (lab, pharmacy, insurer) are allowed to see my data.]",Trust-Building Factors: Governance and Accountability [It is clear who is responsible if my health data is misused.],Trust-Building Factors: Governance and Accountability [There is an easy way to raise a complaint about my data or my care.],Trust-Building Factors: Governance and Accountability [Complaints I raise are tracked and resolved within a reasonable time.],Trust-Building Factors: Communication [The platform explains things in simple language that I understand.],"Trust-Building Factors: Communication [I receive timely updates at each step of my care (e.g., report ready, medicine dispatched).]",Trust-Building Factors: Communication [Messages from the platform feel respectful and caring.],Trust-Building Factors: Credibility and Social Proof [I trust digital healthcare services that are associated with certified doctors or hospitals.],Trust-Building Factors: Credibility and Social Proof [Seeing doctor qualifications on digital platforms increases my trust.],Trust-Building Factors: Credibility and Social Proof [Positive reviews and ratings from other patients significantly increase my trust in a digital doctor.],Trust-Building Factors: Credibility and Social Proof [Well-known digital healthcare platforms appear more trustworthy to me.],Trust-Building Factors: Credibility and Social Proof [I am more likely to trust a digital healthcare platform if it is recommended by friends or family.],Trust-Building Factors: Service Reliability [Digital healthcare platforms provide reliable medical advice.],Trust-Building Factors: Service Reliability [Online consultations through digital healthcare are generally accurate.],"Trust-Building Factors: Service Reliability [I trust that the platform will function smoothly without technical glitches (e.g., video freezing) during consultations.]",Trust Barriers / Concerns [I worry that my health data may be shared without my permission.],Trust Barriers / Concerns [I worry that my health data might be sold to third-party companies (like insurance or pharmaceutical firms) without my knowledge.],Trust Barriers / Concerns [I am concerned about incorrect diagnosis through online consultations.],Trust Barriers / Concerns [The lack of physical examination reduces my trust in digital healthcare services.],Trust Barriers / Concerns [I am concerned that important physical symptoms might be missed because the doctor cannot see me clearly through a screen.],Trust Barriers / Concerns [I fear online fraud while making payments on digital healthcare platforms.],Trust Barriers / Concerns [Hidden charges reduce my trust in digital healthcare services.],Trust Barriers / Concerns [Using digital healthcare platforms feels complicated for me.],"Trust Barriers / Concerns [I find the registration or login process for digital health apps frustrating, which lowers my trust in them.]",Future Intention and Adoption [I intend to continue using digital healthcare services in the future.],Future Intention and Adoption [I would recommend digital healthcare services to others.],Future Intention and Adoption [I plan to make digital healthcare my first option for minor health issues before visiting a physical clinic.],"Trust Barriers / Concerns [To show you are reading carefully, please select 'Agree' for this statement.]",Pricing [The pricing of digital healthcare services is clear and upfront.],Future Intention and Adoption [I am willing to use digital healthcare services more frequently if trust concerns are addressed.],Your overall experience with digital healthcare services can be rated as:
2026-01-21 17:59:54.995803,Yes,65 and over,Tier-2 / Tier-3 city,English,"Online doctor consultations (video/chat), Online prescription refills/pharmacy services",Weekly,Apollo 24|7,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,3
2026-01-21 19:13:48.441531,Yes,35-44,Metro city,Hindi,"Viewing lab results/medical records online, Online doctor consultations (video/chat), Scheduling appointments online",Monthly,Practo,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,3
2026-01-21 19:26:20.428512,Yes,25-34,Metro city,English,"Online doctor consultations (video/chat), Scheduling appointments online",Monthly,Tata 1mg,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,3
2026-01-21 19:43:56.557634,Yes,25-34,Metro city,English,"Mental health/counselling via telehealth, Online doctor consultations (video/chat)",A few times a year,PharmEasy,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3
2026-01-21 19:55:29.503378,Yes,Under 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-21 20:00:57.453908,Yes,18-24,Tier-2 / Tier-3 city,Marathi,Online prescription refills/pharmacy services,A few times a year,Tata 1mg,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,5
2026-01-21 20:13:04.461595,Yes,18-24,Metro city,Hindi,Online prescription refills/pharmacy services,Monthly,Practo,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Neutral,Strongly Disagree,4
2026-01-21 20:27:07.782093,Yes,25-34,Tier-2 / Tier-3 city,Marathi,"Scheduling appointments online, Online doctor consultations (video/chat)",A few times a year,Apollo 24|7,Disagree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,2
2026-01-21 20:29:40.272600,Yes,35-44,Tier-2 / Tier-3 city,Hindi,Viewing lab results/medical records online,Weekly,Apollo 24|7,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,4
2026-01-21 20:30:35.999402,Yes,18-24,Metro city,English,"Online prescription refills/pharmacy services, Mental health/counselling via telehealth, Online doctor consultations (video/chat)",Weekly,Tata 1mg,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Disagree,4
2026-01-21 20:44:12.122406,Yes,18-24,Tier-2 / Tier-3 city,English,"Scheduling appointments online, Online doctor consultations (video/chat), Online prescription refills/pharmacy services",Monthly,Practo,Neutral,Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,4
2026-01-21 20:53:59.388522,Yes,35-44,Metro city,Marathi,Scheduling appointments online,Monthly,Hospital's own app,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,4
2026-01-21 21:34:11.527784,Yes,45-54,Metro city,Marathi,"Online doctor consultations (video/chat), Scheduling appointments online",Weekly,Apollo 24|7,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,2
2026-01-21 21:47:57.697164,Yes,45-54,Metro city,Other,"Online doctor consultations (video/chat), Digital health monitoring apps (e.g. BP, fitness)",Monthly,Tata 1mg,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,4
2026-01-21 22:01:00.140476,Yes,35-44,Metro city,English,Viewing lab results/medical records online,A few times a year,Practo,Disagree,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,3
2026-01-21 22:07:52.307201,Yes,65 and over,Tier-2 / Tier-3 city,Marathi,"Viewing lab results/medical records online, Online doctor consultations (video/chat)",Monthly,Other,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,4
2026-01-21 22:19:03.984939,Yes,25-34,Rural / semi-urban,Hindi,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat), Digital health monitoring apps (e.g. BP, fitness)",A few times a year,eSanjeevani,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,3
2026-01-21 22:34:21.373977,Yes,35-44,Metro city,English,"Online doctor consultations (video/chat), Viewing lab results/medical records online",Monthly,Practo,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Disagree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,3
2026-01-21 22:37:00.942253,Yes,25-34,Metro city,English,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-21 22:44:53.850079,Yes,18-24,Tier-2 / Tier-3 city,English,"Viewing lab results/medical records online, Online doctor consultations (video/chat)",Weekly,Practo,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,1
2026-01-21 22:46:39.157515,Yes,45-54,Tier-2 / Tier-3 city,English,"Online prescription refills/pharmacy services, Viewing lab results/medical records online, Online doctor consultations (video/chat)",Weekly,Apollo 24|7,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5
2026-01-21 22:54:37.879326,Yes,25-34,Tier-2 / Tier-3 city,English,"Scheduling appointments online, Viewing lab results/medical records online, Online doctor consultations (video/chat), Digital health monitoring apps (e.g. BP, fitness)",A few times a year,PharmEasy,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Agree,3
2026-01-21 23:20:58.535369,Yes,35-44,Tier-2 / Tier-3 city,Other,"Online doctor consultations (video/chat), Digital health monitoring apps (e.g. BP, fitness), Online prescription refills/pharmacy services, Mental health/counselling via telehealth",Monthly,Apollo 24|7,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,3
2026-01-21 23:23:48.215923,Yes,25-34,Metro city,Other,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat), Viewing lab results/medical records online",A few times a year,Hospital's own app,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,4
2026-01-21 23:55:53.493853,Yes,18-24,Metro city,English,Online prescription refills/pharmacy services,A few times a year,Practo,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,3
